"Election","Electorate","Area","Booth","Green Party","Labour Party","National Party","New Zealand First Party","Total Valid Party Votes"
2011,"Nelson","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Mt Albert","Westmere","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Clutha-Southland","Hillend","Hillend Hall, 1036 Hillend Road",0,0.0138888889,0.7222222222,0,72
2011,"Clutha-Southland","Opio","Opio Public Hall, 529 Opio Road",0,0.0392156863,0.8235294118,0.0392156863,51
2011,"Clutha-Southland","Orepuki","Orepuki and Districts Community Centre, 32 Oldham Street",0,0,0.8947368421,0,19
2011,"Clutha-Southland","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Papakura","Manurewa","Greenmeadows Intermediate, Ferguson Road entrance",0,0.8888888889,0,0.1111111111,9
2014,"Papakura","Manurewa","James Cook High School Hall, 12 Dr Pickering Avenue",0,0.7534246575,0.1232876712,0.095890411,73
2014,"Papakura","Manurewa","Manurewa South Primary School Hall, 39 Tawa Crescent ",0,0.5333333333,0.4,0.0666666667,15
2014,"Papakura","Patumahoe","Patumahoe School, 38 Patumahoe Road",0,0.0344827586,0.8275862069,0.1034482759,58
2014,"Papakura","Wattle Downs","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Mt Albert","Mt Roskill","Monte Cecilia Catholic School, 72 Hillsborough Road",0,0.1428571429,0.5714285714,0,7
2011,"Mt Albert","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Selwyn","Hornby","Sockburn School, 34 Springs Road",0,0.0833333333,0.8333333333,0,24
2011,"Selwyn","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Ōtaki","Newtown","Newtown School Hall, corner Riddiford & Mein Streets",0,0.3,0.4,0.2,10
2014,"Ōtaki","Porirua City","North City Mall, Shop 150, Ground Floor by escalator, 2 Titahi Bay Road ",0,0.1818181818,0.7272727273,0.0909090909,11
2011,"Tāmaki","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Whanganui","Pukengahu","Pukengahu Hall, corner Waihapa & Wingrove Roads",0,0.1428571429,0.8021978022,0.021978022,91
2014,"Whanganui","Te Kiri","Te Kiri Hall, Eltham Road",0,0.0606060606,0.8181818182,0.0505050505,99
2014,"Whanganui","Whenuakura","Whenuakura School, Kaharoa Road",0,0.0987654321,0.7407407407,0.1111111111,81
2014,"Whanganui","Whenuakura","Voting places where less than 6 votes were taken",0,0.25,0,0.75,4
2011,"Christchurch East","Christchurch City","First Church of Christ Scientist, 66 Carlton Mill Road",0,0.25,0.75,0,8
2011,"Christchurch East","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Coromandel","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Māngere","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Hutt South","Taita","Avalon Intermediate School, 1041 High Street",0,0.5757575758,0.1818181818,0.2424242424,33
2014,"Hutt South","Wellington City","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Hamilton East","Whangamata ","Whangamata Memorial Hall, 328 Port Road",0,0.0434782609,0.9130434783,0,23
2014,"Hamilton East","Whitiora","Whitiora School, 38 Willoughby Street",0,0.2068965517,0.6206896552,0.0689655172,29
2014,"Hamilton East","Whitiora","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Wairarapa","Alfredton","Alfredton School, corner Alfredton Road & Route 52",0,0.0490196078,0.8725490196,0.0392156863,102
2014,"Wairarapa","Mangamaire","Mangamaire School, 192 Tutaekara Road",0,0.1111111111,0.7843137255,0.0653594771,153
2014,"Wairarapa","Weber","Weber School, Dannevirke-Weber Road",0,0.0377358491,0.820754717,0.0849056604,106
2014,"Wairarapa","Woodville","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"East Coast","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Waitaki","Woodbury","Voting places where less than 6 votes were taken",0,0,1,0,2
2011,"Te Atatū","Henderson","The Church of Jesus Christ of Latter-Day Saints, 7 Harvest Drive",0,0.3414634146,0.5609756098,0.0243902439,41
2011,"Te Atatū","Ranui","Ranui Primary School, 16a Ranui Station Road",0,0.6744186047,0.1627906977,0.0930232558,43
2011,"Te Atatū","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Ōhāriu","Wellington City","Chaffers Dock Atrium, 18 Herd Street",0,0.1,0.8,0.1,10
2014,"Ōhāriu","Wilton","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Northcote","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Invercargill","Brydone","Brydone Community Hall, 12 Brydone-Glencoe Road",0,0.0857142857,0.6857142857,0.1,70
2014,"Invercargill","Hedgehope","Hedgehope School, 2250 Winton-Hedgehope Highway",0,0.0673076923,0.8365384615,0.0480769231,104
2014,"Invercargill","Mokoreta","Mokoreta-Redan Centennial Hall, 1725 Wyndham-Mokoreta Road",0,0.0416666667,0.8611111111,0.0833333333,72
2014,"Invercargill","Queenstown","Queenstown Memorial Hall, corner Memorial & Stanley Streets",0,0.25,0.625,0.125,16
2014,"Invercargill","Wyndham","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Rangitīkei","Ngapuke","Ngapuke School, Room 1, Taumarunui-Ngapuke Road",0,0.1363636364,0.6818181818,0.0454545455,22
2011,"Rangitīkei","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Rangitīkei","Other Vote","Ordinary Votes BEFORE polling day - Taken in Whanganui",0,0.3125,0.625,0,16
2011,"Palmerston North","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Tukituki","Waiwhare","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Tauranga","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Manukau East","Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",0,0.625,0.28125,0,32
2014,"Manukau East","Favona","Koru School, 71 Robertson Road",0,0.8333333333,0,0.1666666667,6
2014,"Manukau East","Flat Bush","Dawson Road Primary School, 15 Haumia Way",0,0.8852459016,0.0491803279,0.0327868852,61
2014,"Manukau East","Mangere East","De La Salle College, 81 Gray Avenue",0,0.7,0.1333333333,0.1,30
2014,"Manukau East","Mangere East","Mangere East Primary School, 21 Yates Road",0,0.75,0.1428571429,0.0714285714,28
2014,"Manukau East","Mangere East","Sutton Park School, 89 Vine Street",0,0.8181818182,0.0909090909,0.0909090909,11
2014,"Manukau East","Manukau","Redoubt North Wesleyan Church, 51 Diorella Drive ",0,0.5,0.25,0.1875,32
2014,"Manukau East","Papatoetoe","Voting places where less than 6 votes were taken",0,0.8,0,0.2,5
2011,"Pakuranga","Shelly Park","Shelly Park School, 11-13 Sunnyview Avenue",0,0.05,0.9,0,20
2011,"Pakuranga","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Mana","Newtown","Wellington Hospital, Te Ao Marama Building Sports Complex, Riddiford Street (main entrance)",0,0.5,0.5,0,14
2014,"Hauraki-Waikato","Waiheke Island","Palm Beach Hall, 64 Palm Road",0,0.2857142857,0.1428571429,0.5714285714,7
2014,"Hauraki-Waikato","Springdale","Springdale School, 985 Number 1 Road",0,0.4285714286,0,0.1428571429,7
2014,"Hauraki-Waikato","Tapu","Tapu School, 719 Thames Coast Road",0,0.3,0.3,0.3,10
2014,"Hauraki-Waikato","Te Aroha","Te Aroha College Hall, 106 Stanley Avenue",0,0.4736842105,0.1052631579,0.1052631579,19
2014,"Hauraki-Waikato","Waihou  ","Waihou Community Hall, 2 Second Avenue",0,0.8571428571,0.1428571429,0,7
2014,"Hauraki-Waikato","Waitakaruru","Waitakaruru School, Canal West Road ",0,0.5714285714,0.0714285714,0.2142857143,14
2014,"Hauraki-Waikato","Waitoa","Waitoa School, 3932 State Highway 26",0,0.5294117647,0.2352941176,0.1176470588,17
2014,"Hauraki-Waikato","Whiritoa","Whiritoa Emergency Management Centre, Whiritoa Beach Road",0,0.1666666667,0.5,0.1666666667,6
2014,"Hauraki-Waikato","Rototuna","Chapel Hill Community Church, 2 Cate Road",0,0.40625,0.09375,0.15625,32
2014,"Hauraki-Waikato","Ararimu","Ararimu School, corner Steel & Ararimu Roads",0,0.2222222222,0.5555555556,0,9
2014,"Hauraki-Waikato","Bombay","Bombay School, 35 Paparata Road",0,0.1666666667,0.2222222222,0.2777777778,18
2014,"Hauraki-Waikato","Clevedon","Clevedon School, 13-17 North Road",0,0.25,0.125,0.25,8
2014,"Hauraki-Waikato","Glenbrook","Glenbrook Primary School, 459 Glenbrook Road",0,0.5384615385,0.0769230769,0.0769230769,13
2014,"Hauraki-Waikato","Hunua","Hunua School, 39 Lockwood Road",0,0.1818181818,0.1818181818,0.4545454545,11
2014,"Hauraki-Waikato","Puni","Puni School, 357 Waiuku Road",0,0.1,0.1,0.5,10
2014,"Hauraki-Waikato","Waipipi","Waipipi School, 100 Creamery Road",0,0.3,0.2,0.1,10
2014,"Hauraki-Waikato","Waiuku","Waiuku College, 43 Constable Road",0,0.4,0.1,0.15,20
2014,"Hauraki-Waikato","Manurewa","Manurewa East School Hall, 10 Scotts Road",0,0.3333333333,0,0.4444444444,9
2014,"Hauraki-Waikato","Alfriston","Alfriston School, Performing Arts Centre, corner Mill & Alfriston Roads",0,0.5454545455,0.0909090909,0.1363636364,22
2014,"Hauraki-Waikato","Hingaia","CCS Buildings, Potter Lounge, 128 Hingaia Road",0,0,0.4545454545,0.0909090909,11
2014,"Hauraki-Waikato","Karaka","Karaka School Hall, 12 Blackbridge Road ",0,0.3333333333,0.3333333333,0.2222222222,9
2014,"Hauraki-Waikato","Koromatua","Koromatua School, 355 Koromatua Road",0,0.7142857143,0,0.2857142857,7
2014,"Hauraki-Waikato","Te Akau","Te Akau School, 953 Te Akau Road",0,0.5714285714,0.1428571429,0,7
2014,"Hauraki-Waikato","Te Awamutu","Te Awamutu Primary School, 401 Teasdale Street",0,0.375,0.125,0.2,40
2014,"Hauraki-Waikato","Waingaro","Waingaro School, 5844 State Highway 22",0,0.6666666667,0.1666666667,0.1666666667,6
2014,"Hauraki-Waikato","Fencourt","Goodwood School, 517 Fencourt Road",0,0.2857142857,0.5714285714,0.1428571429,7
2014,"Hauraki-Waikato","Kiwitahi","Kiwitahi School, 8 Chepmell Road",0,0.6,0.2,0,5
2014,"Hauraki-Waikato","Mercer","Mercer School, 15 Glass Road",0,0.4,0,0.4,10
2014,"Hauraki-Waikato","Meremere","Meremere School, Heather Green Avenue",0,0.512195122,0.0243902439,0.0975609756,41
