Electorate Number #,Electorate Name,Polling Place ID,Polling Place Suburb,Polling Place Address,NZTM2000 Easting,NZTM2000 Northing
1,Auckland Central,98,Auckland City,"Auckland High Court, corner Waterloo Quadrant & Parliament Street",1757941.612,5920405.712
1,Auckland Central,100,Auckland City,"Liston House, 30-32 Hobson Street",1757162.975,5920750.11
1,Auckland Central,101,Auckland City,"Methodist Church Hall, 78 Pitt Street",1756847.448,5919539.57
1,Auckland Central,106,Great Barrier Island,"Okiwi School, Aotea Road",1815397.211,5996213.921
1,Auckland Central,107,Great Barrier Island,Port Fitzroy Aotea Centre (Nurses Cottage),1812401.608,5995162.571
1,Auckland Central,108,Great Barrier Island,"Tryphena Mulberry Grove School, Shoal Bay Road",1823982.831,5978485.983
1,Auckland Central,111,Grey Lynn,"Mata'aga Hall, 18 Leighton Street",1755457.978,5919333.785
1,Auckland Central,112,Grey Lynn,"Richmond Road School, 113 Richmond Road ",1755096.329,5919671.027
1,Auckland Central,113,Grey Lynn,"Grey Lynn Primary School, 44 Surrey Crescent",1754690.875,5918922.277
1,Auckland Central,114,Herne Bay,"Bayfield School, 2 Clifton Road ",1754363.48,5920619.461
1,Auckland Central,115,Herne Bay,"Marist School, 82 Kelmarna Avenue",1754730.247,5920223.238
1,Auckland Central,116,Herne Bay,"St Stephen's Presbyterian Church, 65 Jervois Road",1755287.903,5920863.307
1,Auckland Central,119,Newton,"Newton Central School, Monmouth Street",1756140.7,5918947.193
1,Auckland Central,120,Newton,"Unitarian Church Hall, 1a Ponsonby Road",1756143.859,5919364.165
1,Auckland Central,124,Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",1755469.827,5920398.716
1,Auckland Central,125,Ponsonby,"Sacred Heart Parish Hall, 24 Vermont Street",1755440.751,5919942.697
1,Auckland Central,127,Ponsonby,"Ponsonby Primary School, 44 Curran Street",1755055.174,5921233.803
1,Auckland Central,130,Waiheke Island,"Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",1778960.501,5927423.615
1,Auckland Central,131,Waiheke Island,"Onetangi Residents Association Hall, corner Waiheke Road & Third Avenue",1785870.915,5926348.985
1,Auckland Central,134,Waiheke Island,"Omiha Memorial Hall, 2 Glenbrooke Road",1783646.334,5923218.233
1,Auckland Central,135,Waiheke Island,"Palm Beach Hall, 64 Palm Road",1782236.555,5927422.442
1,Auckland Central,138,Westmere,"Westmere School, corner Larchwood Avenue & Garnet Street",1753791.979,5919407.422
1,Auckland Central,2894,Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",1754484.139,5919296.827
1,Auckland Central,2895,Grey Lynn,"St Paul's College (Library), 183 Richmond Road",1754906.584,5920048.61
