Electorate Candidate and Party Votes Recorded at Each Polling Place
"Clutha-Southland 6","Candidate Vote Details"
,,"ENGLISH, Simon William","GOW, Timothy Robert","HENDERSON, Roland James","HUBBARD, Marvin Gilbert","PRYDE, Donald Stuart","TANKARD, Paul Ayson","Total Valid Candidate Votes","Informal Candidate Votes"
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",987,219,19,2,287,22,1536,10
"Balclutha","Balclutha Information Centre, 4 Clyde Street",356,44,15,5,220,7,647,14
,"Balclutha Primary School Hall, 21 Lanark Street",174,14,5,0,108,5,306,7
,"Balmoral Church Hall, 34 Essex Street",382,30,11,2,231,12,668,9
,"Rosebank School Hall, 21 Frances Street",519,30,12,1,216,11,789,13
"Balfour","Balfour School, 131 Queen Street",240,8,8,0,16,1,273,4
"Blackmount","Blackmount School, 4288 Blackmount-Redcliff Road",53,6,4,2,5,0,70,0
"Browns","Hillside School, 24 McCaughan Street",105,8,3,0,9,0,125,1
"Clifden","Hauroko Valley School, 956 Clifden Highway",101,3,3,0,8,1,116,3
"Clinton","Clinton School, 34 Halsey Street",254,12,4,2,57,7,336,1
"Crookston","Crookston Public Hall, State Highway 90",62,2,0,0,10,2,76,0
"Dipton","Dipton School, James Street",155,14,1,0,12,3,185,2
"Drummond","Central Southland Rural Primary School, corner Boundary & Domain Roads",194,4,4,1,20,2,225,2
"Dunrobin","Dunrobin Memorial Hall, corner Moa Flat, Triangle & Dunrobin Roads",93,0,1,0,1,1,96,0
"Fairfax","Fairfax Public Hall, 1493 Riverton-Otautau Road",80,8,0,1,6,0,95,2
"Five Rivers","Five Rivers Hall, 1898 Five Rivers-Mossburn Road",67,3,2,0,5,0,77,0
"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",474,86,8,1,140,15,724,9
,"St Margarets Church, corner Kawarau Road & Ross Street",1029,166,23,8,325,62,1613,12
"Garston","Garston School, 1705 State Highway 6",88,11,0,0,26,2,127,0
"Glenorchy","Glenorchy Primary School, corner Cantire & Oban Streets",81,23,2,0,24,4,134,5
"Gore","Calvin Presbyterian Church Centre, 25 Robertson Street",748,41,24,7,269,11,1100,10
,"East Gore School Hall, 3 Wentworth Street",397,24,14,1,197,11,644,13
,"Gore District Court, 6 Hokonui Drive",514,45,23,2,245,6,835,10
,"Gore Main School, School Hall, 39 Ardwick Street",816,41,19,3,211,14,1104,11
,"Pipe Band Hall,  27 Hyde Street",207,20,14,2,119,10,372,3
"Greenfield","Clutha Valley School, 2155 Clutha Valley Road",249,9,4,0,18,5,285,2
"Heddon Bush","Heddon Bush School, 233 Hall Road",100,1,2,1,2,1,107,0
"Henley","Henley Community Centre, Centre Road",14,0,0,0,1,2,17,0
"Heriot","Heriot School, 181 Roxburgh Street",109,3,4,2,18,1,137,0
"Hillend","Hillend Hall, 1036 Hillend Road",62,1,0,0,3,0,66,0
"Hokonui","Hokonui Centennial Hall, 190 Hokonui School Road",62,2,2,0,4,1,71,0
