Electorate Candidate Votes Recorded at Each Voting Place
"Selwyn 48","Candidate Vote Details"
,,"ADAMS, Amy Juliet","CLIBBORN, Roger Barclay","DICKSON, Gordon John","GARDYNE, Sheryl Ann","GILBERT, Paul de Vallenger","HILL, Peter Selwyn","WOODS, William Edward","Total Valid Candidate Votes","Informal Candidate Votes"
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",305,5,56,2,0,83,11,462,3
"Arthurs Pass","Arthurs Pass Visitors Centre, West Coast Road",20,2,2,0,0,11,0,35,0
"Broadfield","Broadfield School, corner Shands & Robinsons Roads",301,5,17,0,0,24,8,355,0
"Brookside","Brookside St Luke's Sunday School Hall, Brookside-Burnham Road",72,0,10,0,0,15,6,103,2
"Burnham","Burnham School, Hall, corner Chaytor Avenue & Godley Road",212,7,47,0,0,30,28,324,4
"Cass Bay","TS Godley (former Navy League), 64 Governors Bay Road",7,0,7,0,0,2,1,17,1
"Chertsey","Chertsey Primary School Library, 83 High Street",114,5,19,0,1,4,12,155,0
"Christchurch City","Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",19,0,2,0,0,8,1,30,1
,"St Michael's Church School Hall, corner Tuam & Durham Streets",15,2,1,0,0,7,0,25,0
"Darfield","Darfield High School, 7 McLaughlins Road",535,12,66,0,2,54,55,724,1
,"Darfield Service Centre, 1 South Terrace",456,8,81,5,1,57,76,684,3
"Diamond Harbour","Diamond Harbour Community Centre, Waipapa Avenue",103,3,60,1,0,113,6,286,5
,"Diamond Harbour School Hall, Marine Drive",213,2,69,3,0,120,7,414,1
"Dorie","Dorie School, 103 Dorie School Road",96,0,3,0,0,0,2,101,0
"Dunsandel","Dunsandel Sports Centre, Tramway Road (off Main Road)",378,6,42,0,1,34,35,496,2
"Duvauchelle","Duvauchelle Community Centre, Main Road",138,1,26,0,0,27,6,198,1
"Glentunnel","Glentunnel School, Homebush Road",183,10,44,3,0,54,38,332,4
"Governors Bay","Governors Bay School Library, 1 Jetty Road",176,4,59,0,0,101,6,346,2
"Greendale","Greendale School, 187 Greendale Road",115,5,4,0,0,16,12,152,1
"Halswell","Halswell School, corner Kennedys Bush & School Roads",143,4,34,3,0,37,4,225,1
,"Saints Peter & Paul Catholic Church Hall, 56 Nicholls Road",139,1,31,2,1,18,12,204,2
,"St Mary's Anglican Church Hall, 329 Halswell Road",99,2,24,1,0,11,5,142,0
"Harewood","Harewood Playcentre, 719 Harewood Road",67,3,9,1,4,7,8,99,0
"Hei Hei","Gilberthorpe School Library, 163 Gilberthorpes Road",130,4,31,0,1,14,8,188,1
,"St Aidans Church Hall, corner Hei Hei & Buchanans Roads",28,2,5,0,0,0,8,43,1
"Hoon Hay","Cashmere Early Learning Centre, 192 Cashmere Road",9,0,1,0,0,2,0,12,0
"Hornby","Hornby Community Care Centre, 8 Goulding Avenue",35,0,8,0,0,6,3,52,0
,"South Hornby School Hall, 52 Shands Road",30,1,8,0,0,5,5,49,0
,"St Columba's Church Hall, 452 Main South Road",17,0,6,0,0,3,1,27,1
"Hororata","Hororata Primary School Library, 2548 Bealey Road",249,12,26,1,2,33,39,362,1
