Electorate Candidate and Party Votes Recorded at Each Polling Place
"Dunedin South 11","Candidate Vote Details"
,,"BENSON-POPE, David Henry","DAGLISH, David Brent","FORD, Christopher John","HEWARD, Alan John ","MOFFAT, Mary Pauline ","POWELL, Conway Llewelyn","THOMLINSON, Peter Neil","VAUGHAN, Martin Francis ","WANSINK, Robert Charles","WILDEN, Alan John","Total Valid Candidate Votes","Informal Candidate Votes"
"Abbotsford","Community Hall, 72 North Taieri Road",166,3,3,4,6,71,9,3,0,1,266,3
,"Scout Hall, Abbotsford Road (cnr Unsworth Street)",520,12,4,34,12,164,39,20,1,9,815,11
"Andersons Bay","Presbyterian Church Hall, Silverton Street",846,17,5,35,41,420,94,20,8,9,1495,14
"Brighton","Brighton School, 2 Bath St",206,1,1,18,9,82,32,9,0,1,359,3
"Broad Bay","Broad Bay School, Roebuck Rise",208,0,1,3,3,46,40,4,0,3,308,3
"Calton Hill","Calton Hill School, 38 Riselaw Road",352,10,3,23,9,60,44,15,0,4,520,6
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",508,14,4,31,27,139,47,17,0,2,789,3
,"Caversham School Hall, Surrey Street",422,11,7,30,21,113,46,16,8,0,674,7
"Concord","Concord School, 5 Thoreau Street",228,4,3,7,9,86,20,8,1,6,372,0
,"Kindergarten, 93 Mulford Street",187,6,1,10,1,38,11,2,0,6,262,6
"Corstorphine","Community Centre, Middleton Road",423,10,1,30,16,109,25,8,1,0,623,9
,"Corstorphine School, Lockerbie Street",259,8,5,19,13,103,24,13,2,5,451,6
"Dunedin Central","Court House, 41 Lower Stuart Street",52,2,1,2,3,22,10,0,1,1,94,1
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, Great King St",83,2,0,1,8,35,14,0,1,1,145,2
,"High Street School, 7 Montpellier Street",29,1,0,1,1,11,9,0,0,0,52,1
,"Salvation Army McMillan Lounge, 575 Princes Street",50,1,3,2,3,19,7,2,0,1,88,1
"Dunedin North","George Street Normal School, 989 George Street",22,0,1,1,2,14,13,1,1,0,55,0
,"Kelsey Yaralla Kindergarten, 4 Trent Avenue",6,0,0,0,0,3,2,0,0,0,11,0
,"Knox Church Hall, 453 George Street (cnr Pitt Street)",21,0,0,0,1,8,8,1,0,0,39,2
,"University of Otago (ISB Link East), Cumberland St",35,1,0,0,1,14,7,1,0,2,61,1
,"University of Otago (ISB Link West), Cumberland St",26,1,1,1,2,10,15,0,0,1,57,0
"East Taieri","East Taieri School, 11 Cemetery Road",169,2,2,11,26,236,20,3,1,4,474,7
"Fairfield","Fairfield Community Hall, Main Road",712,15,7,44,28,468,41,27,5,14,1361,6
"Forbury Corner","St Bernadettes School Hall, 16 Forbury Road",283,4,7,12,16,199,41,7,11,8,588,1
"Green Island","Pipe Band Hall, Main South Road",631,12,6,46,18,215,54,21,3,9,1015,13
,"Plunket Rooms, Main South Road",365,12,3,28,8,115,33,16,0,8,588,6
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road (cnr Nairn Street)",29,2,0,0,0,25,9,2,0,0,67,0
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",403,5,3,19,14,199,84,22,0,6,755,6
"Mornington","Mornington School, 34 Elgin Road",34,0,1,2,2,17,4,1,0,0,61,0
"Mosgiel","A&P Showgrounds, Gordon Road, Rapid No 320",76,0,0,12,7,218,17,5,0,3,338,3
,"Chatsford, 77 Doon Street",136,1,2,11,8,174,1,8,0,1,342,3
,"Coronation Hall, Gordon Rd",422,11,3,29,16,259,30,22,2,1,795,7
,"Elmgrove School, 74 Argyle Street",528,20,7,29,23,310,29,28,1,3,978,11
,"Mosgiel Abilities Resource Centre, 16 Green Street",193,6,1,17,8,117,22,9,1,1,375,1
,"Mosgiel Public Library, 7 Hartstonge Avenue",773,19,4,61,30,381,64,28,2,9,1371,17
,"Reid Park Kindergarten, 63 Murray Street",322,9,0,15,16,182,23,11,1,1,580,0
