Electorate Candidate Votes Recorded at Each Voting Place
"New Plymouth 32","Candidate Vote Details"
,,"DOMBROSKI, Jamie Jeffery","GRAY, James Stephen","LITTLE, Andrew James","ROBERTS, Sarah Ngaire","STORR, Angela Maria","YOUNG, Jonathan Edgar Joseph","Total Valid Candidate Votes","Informal Candidate Votes"
"Bell Block","Bell Block Hall, 27 Bell Block Court",20,5,257,46,16,577,921,6
,"Fred Tucker Memorial Centre, 130 Parklands Avenue",19,7,359,46,21,673,1125,13
,"Puketapu School Hall, 25 Dillon Drive",8,5,197,19,13,382,624,8
"Egmont Village","Egmont Village School Hall, 1052 Junction Road",6,0,87,37,5,262,397,1
"Glen Avon","Glen Avon Hall, 23 Alberta Road",5,0,106,14,4,267,396,1
"Hillsborough","Hillsborough Public Hall, 373 Egmont Road",4,2,50,18,8,284,366,3
"Inglewood","Inglewood High School, Kelly Street entrance",5,0,11,3,0,37,56,2
,"Inglewood Primary School Library, 33 Kelly Street",2,0,7,4,0,19,32,0
"Lepperton","Lepperton Hall, 533 Richmond Road",2,1,47,5,14,306,375,5
"Mangorei","Mangorei School Hall, 502 Mangorei Road",3,1,142,24,14,521,705,6
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",3,1,9,1,0,42,56,1
"New Plymouth","Air Training Corps Rooms, 367a Carrington Street",10,4,139,22,11,276,462,10
,"Blind Foundation, 131 Vivian Street",7,3,120,28,14,178,350,5
,"Boys' High School, Pridham Hall, 97 Eliot Street",11,5,98,20,8,289,431,8
,"Central School Hall, 46 Pendarves Street entrance",12,6,294,46,6,445,809,12
,"Devon Intermediate School, 400 Devon Street West",5,2,142,35,5,157,346,6
,"Fitzroy Hall, 45 Sackville Street",17,4,332,70,17,727,1167,20
,"Francis Douglas Memorial College, 201 Tukapa Street",9,3,155,21,8,281,477,2
,"Frankley School, 357 Tukapa Street",10,2,122,24,9,351,518,2
,"Girls' High School Hall, Main Entrance, 42 Mangorei Road",4,6,150,32,10,332,534,1
,"Holy Trinity Church Hall, 8 Henui Street",2,3,126,30,6,301,468,5
,"Marfell School Hall, 92a Omata Road entrance",13,2,150,16,4,71,256,5
,"Merrilands Hall, 251 Mangorei Road",6,2,197,29,12,596,842,7
,"Merrilands School, 7 Kauri Street",12,6,272,31,16,513,850,5
,"Moturoa School, 45 Pioneer Road",7,2,124,22,3,140,298,7
,"Onuku Taipari Hall, 136 Ngamotu Road",16,3,241,31,9,178,478,4
,"Spotswood College Library, 129 South Road",21,2,265,41,10,341,680,7
,"Spotswood Primary School Hall, 177 South Road",8,5,257,28,17,475,790,11
,"St Chad's Church Hall, 12 Omata Road",7,2,288,36,12,323,668,8
,"St James Church, 24 Lawry Street",11,3,228,24,8,270,544,5
,"St John Rooms, 318 St Aubyn Street",8,0,164,31,5,267,475,10
,"St Joseph's Community Centre, 151 Devon Street West ",7,3,131,26,3,190,360,9
,"St Pius X School, 120 Brooklands Road",5,1,206,29,11,345,597,8
,"Taranaki Base Hospital, Clinical Skills Laboratory, Lyn Street entrance",1,1,89,12,3,91,197,3
,"Taranaki Disability Resource Centre, 28 Young Street",4,0,88,11,1,73,177,2
,"Vogeltown School Hall, 37 Huatoki Street",30,3,372,60,14,555,1034,10
,"Welbourn School Hall, 5 Welbourn Terrace entrance",8,0,268,33,12,403,724,8
,"Westown School Hall, 41 Sanders Avenue",34,13,557,78,42,797,1521,17
,"Woodleigh School Hall, 85 Brois Street",9,3,219,33,7,359,630,6
,"Woodleigh Sports and Social Club, 43 Fernleigh Street",4,3,93,9,4,297,410,4
"Oakura","Oakura School, 16 Donnelly Street",20,5,208,87,17,601,938,8
"Okato","Coastal Taranaki School, 88 Carthew Street",17,2,141,54,9,276,499,8
"Omata","Omata School Hall, 3 Holloway Road",9,8,55,12,1,224,309,6
"Opunake","Opunake Primary School, Longfellow Road",13,2,88,24,10,266,403,10
"Pungarehu","Pungarehu Hall, 6339 Main South Road ",1,0,27,13,1,59,101,3
"Rahotu","Rahotu School, 5825 Main South Road ",2,0,31,8,3,122,166,3
"Waitara","Orapa Kindergarten, 10 Wood Street",20,1,195,13,3,149,381,3
,"Owae Marae, 16 North Street",5,1,28,0,1,17,52,2
,"Waitara Central School Hall, 18 Cracroft Street",34,6,325,36,22,348,771,6
,"Waitara High School Hall, 16 Princess Street",19,3,235,31,8,303,599,5
"Warea","Warea Hall, 6917 Main South Road ",0,2,16,10,1,99,128,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",91,37,2270,320,124,4511,7353,87
,"Special Votes BEFORE polling day",31,5,310,80,14,484,924,8
,"Special Votes On polling day",59,14,543,164,33,795,1608,23
,"Overseas Special Votes including Defence Force",5,5,157,48,4,321,540,3
,"New Plymouth Total",701,205,11788,2025,633,21566,36918,429
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37347
"Electorate Candidate Valid Votes","Party",,"YOUNG, Jonathan Edgar Joseph - majority 9778"
"DOMBROSKI, Jamie Jeffery",Aotearoa Legalise Cannabis Party,701,.0189880275
"GRAY, James Stephen",ACT New Zealand,205,.0055528468
"LITTLE, Andrew James",Labour Party,11788,.3193022374
"ROBERTS, Sarah Ngaire",Green Party,2025,.0548512921
"STORR, Angela Maria",Conservative,633,.0171461076
"YOUNG, Jonathan Edgar Joseph",National Party,21566,.5841594886
