Electorate Candidate and Party Votes Recorded at Each Polling Place
"West Coast-Tasman 59","Candidate Vote Details"
,,"AUCHINVOLE, Christopher John","BLIGHT, Derek Montgomery","DAVIES, Richard James","GILL, Kevin John","HOLLAND, Lewis","O'CONNOR, Damien Peter","OSBORNE, Milton John","WILKINSON, Steven Crawford George","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahaura","Ahaura Hall, Main Rd",91,0,1,2,0,38,4,1,137,1
"Appleby","Appleby School, Moutere Highway",164,1,16,5,1,159,5,2,353,2
"Arahura","Arahura Whare Wananga, SH 6",37,1,1,0,0,33,0,1,73,1
"Atarau","Moonlight Hall, Atarau Rd ",44,2,2,2,1,13,0,1,65,0
"Bainham","Bainham Public Hall, RD1",35,0,1,1,1,21,1,1,61,0
"Barrytown","Barrytown School, SH 6",52,0,5,1,0,31,1,1,91,0
"Blackball","Blackball Fire Station, Hilton St",54,0,11,1,4,78,13,13,174,1
"Blacks Point","Blacks Point Museum, Main Rd ",25,0,0,0,2,23,1,1,52,0
"Camerons","Bill Maher Hall, Main South Rd",68,1,1,1,4,35,5,3,118,0
"Carters Beach","Carters Beach Hall, Marine Parade",83,0,3,3,0,111,3,6,209,4
"Charleston","Charleston Hall, SH 6",37,0,5,3,2,41,3,4,95,0
"Cobden","Bowling Club Rooms, 84a Ward St",49,1,3,2,7,96,1,4,163,1
,"Cobden School, Fox St",222,2,4,6,13,301,21,8,577,7
"Collingwood","Collingwood Hall, Tasman St",136,7,18,0,1,122,6,9,299,1
"Dobson","Paparoa Range School, Herald St",118,1,1,5,8,89,17,4,243,2
"Dovedale","Dovedale School, Wakefield Thorpe, Wakefield",84,0,18,3,1,78,1,1,186,0
"Dunollie","Dunollie St John's Hall, 33 Inverness St",75,1,2,1,8,115,9,5,216,3
"Fox Glacier","Te Moeka O Tuawe School, Cook Flat Rd",44,0,1,0,1,62,0,2,110,0
"Foxhill","Lord Rutherford Hall, State Highway",101,0,5,2,1,66,6,6,187,1
"Franz Josef","Franz Josef/Waiau Community Centre, SH 6",58,0,9,0,0,81,4,7,159,5
"Granity","Granity School, 83 Torea St",38,0,25,1,1,99,2,3,169,0
"Greymouth","Blaketown School, 90 Blake St",166,6,2,6,6,189,12,10,397,3
,"Grey Hospital Link Clinic 1st floor, Upper High St ",46,0,1,1,4,52,3,1,108,1
,"Grey Main School, Joyce Crescent",203,4,8,3,10,206,14,2,450,4
,"Grey United Tennis Club, Shakespeare St",290,1,4,3,10,286,10,8,612,2
,"Karoro Learning Centre, 180 Tainui St",316,4,12,3,11,265,18,9,638,5
,"Karoro School, Main South Road ",211,2,5,1,3,104,8,3,337,4
,"Regent Theatre, cnr Mackay & Herbert Sts",175,6,19,5,7,187,17,6,422,5
"Haast","Haast Community Hall, Pauareka Rd",27,0,2,1,0,20,3,2,55,0
,"Haast School, Hannahs Clearing",42,2,1,0,1,30,0,2,78,4
"Hari Hari","Sth Westland Area School, Wanganui Flat Rd",158,2,2,2,2,48,4,2,220,4
"Haupiri","Kopara Village Hall, Haupiri Rd",15,0,0,0,0,7,3,1,26,0
"Hector","Ngakawau Domain Hall, Main Rd",31,0,8,0,4,84,6,4,137,4
"Hokitika","Church of Christ Hall, cnr Sale & Stafford St",204,26,2,2,2,203,11,2,452,8
,"Hokitika Regent Theatre, Tancred St",182,9,14,1,6,159,6,3,380,5
,"St Mary's Primary School, Sewell St",231,14,10,3,7,276,9,4,554,5
,"Westland High School, Sale St",248,12,11,5,7,239,9,5,536,8
"Ikamatua","Ikamatua Hall, SH 7",123,0,5,1,2,26,2,0,159,1
"Inangahua","Inangahua Junction School, Main Rd",36,0,2,0,1,28,2,0,69,1
"Jacobs River","Jacobs River School, State Highway",30,0,0,0,0,24,0,0,54,0
"Kaiata","Kaiata Hall, Golf Links Rd",66,0,0,0,2,54,6,9,137,0
"Kaiteriteri","Kaiteriteri Fire Station, Inlet Rd ",83,2,9,2,2,57,5,0,160,1
"Kaniere","Kaniere School, 16 Camp St ",128,3,1,1,3,87,0,2,225,1
"Karamea","Karamea Area School, Waverley St",126,0,15,4,3,120,3,1,272,5
"Kokatahi","Kokatahi/Kowhitirangi School, Kokatahi Rd",70,1,2,1,0,26,0,3,103,1
"Kowhitirangi","Kowhitirangi Hall, Kowhitirangi Rd ",64,1,2,2,0,21,2,3,95,0
"Kumara","Kumara Memorial Hall, Main Rd",104,2,13,1,0,113,7,1,241,0
"Lake Rotoiti","Lake Rotoiti School, St Arnaud",55,0,11,1,1,68,5,0,141,0
"Little Wanganui","Little Wanganui Hall, SH 67",47,0,1,1,1,37,1,1,89,0
"Lower Moutere","Lower Moutere School RD 2",165,0,16,0,3,200,8,8,400,3
"Mangarakau","The Nugget Cafe, Dry Rd",16,0,2,0,0,11,1,0,30,1
