Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hunua 16","Candidate Vote Details"
,,"CAMPBELL, Kevin Patrick","CUMMINGS, Ian James","HILLS, Richard Brian","HUTCHISON, Charles Paul Telford","MITCHELL, Huia Jean","NABBS, Douglas William John","PHILLIPS, Thomas Tuatu Toihau","WATTS, Charmaine Anthea","Total Valid Candidate Votes","Informal Candidate Votes"
"Aka Aka","Aka Aka School, 809 Aka Aka-Otaua Road",11,2,20,93,1,6,0,11,144,2
"Alfriston","Alfriston School, Alfriston Road",10,3,26,191,0,6,1,23,260,2
"Ararimu","Ararimu School, corner Steel & Ararimu Roads",11,7,34,323,1,12,1,29,418,4
"Ardmore","Ardmore School, 559 Papakura-Clevedon Road",0,1,10,84,1,3,0,9,108,1
"Awhitu","Awhitu District School, corner Matakawa & Awhitu Roads",42,7,80,228,1,30,5,74,467,7
"Beachlands","Beachlands School, 18 Bell Road (disabled access from Wakelin Road)",48,14,185,1152,0,72,6,167,1644,21
"Bombay","Bombay School, 35 Paparata Road",27,18,75,636,0,22,3,34,815,14
"Botany Downs","Botany Downs Secondary College, 575 Chapel Road",3,4,24,66,0,1,0,10,108,1
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",12,1,59,122,0,3,0,9,206,5
"Brookby","Brookby School, corner Brookby & West Roads",6,1,19,138,0,4,1,11,180,3
"Buckland","Buckland School,  72 George Crescent",23,8,61,441,3,31,2,35,604,8
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",3,1,175,118,0,5,3,13,318,16
"Clevedon","Clevedon School, 13-17 North Road",22,10,68,667,1,12,4,75,859,8
"Dannemora","Willowbank School, 56 Middlefield Drive",4,0,10,29,0,0,0,6,49,1
"Drury","Drury School, 23-25 Youngs Crescent",9,6,27,200,0,10,1,16,269,3
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",7,4,39,93,0,2,0,6,151,6
,"Mission Heights Primary School, 103 Jeffs Road",21,28,264,762,4,12,3,24,1118,31
,"Old Flat Bush School Hall, corner Murphy's & Flat Bush School Roads",23,7,93,300,0,9,1,15,448,7
,"St Pauls Anglican Church Hall, 141 Chapel Road",11,1,27,75,0,1,0,4,119,1
"Glenbrook","Glenbrook Primary School, 459 Glenbrook Road",41,7,96,489,5,32,0,69,739,12
