Electorate Candidate Votes Recorded at Each Voting Place
"Tukituki 54","Candidate Vote Details"
,,"FOSS, Craig","JENKINSON, Stephen ","LENNOX, Kenneth Duncan","LORCK, Anna Louise","MANNING, Romana Lea","PERLEY, Christopher John Keith","RYAN, Richard Francis","Total Valid Candidate Votes","Informal Candidate Votes"
"Akina","Hastings Central School, 400 Karamu Road South (corner Southampton Street)",380,67,8,383,17,39,2,896,16
"Argyll East","Argyll East School, 1071 Argyll East Road",54,5,0,6,0,4,0,69,2
"Ashley Clinton","Sherwood School, 358 Makaretu Road",100,14,1,25,1,4,0,145,0
"Bridge Pa","Bridge Pa School, 40 Maraekakaho Road",163,9,1,39,2,15,1,230,1
"Camberley","Community Centre, 703 Kiwi Street",11,7,0,145,12,7,0,182,3
,"Hawkes Bay Regional Hospital, Main Entrance, Omahu Road",77,7,0,87,1,11,0,183,9
"Clive","Clive Community Hall, 162 Main Road",499,38,0,352,12,99,2,1002,11
"Elsthorpe","Elsthorpe School, 25 Kenderdine Road",87,4,0,32,1,4,0,128,0
"Flaxmere","Flaxmere Primary School Hall, 12 Whitby Crescent",131,36,2,352,9,33,2,565,8
,"Irongate School, 16 Walton Way",50,9,3,169,6,10,1,248,4
,"Kimi Ora Community School, 1 Boston Crescent",14,6,0,105,4,8,0,137,7
,"Peterhead School Hall, 10 Peterhead Avenue",97,24,4,276,9,26,0,436,5
"Frimley","Frimley School, 202 Frimley Road",626,67,5,429,18,45,0,1190,16
"Hastings City","District Courthouse, 106 Eastbourne Street West",196,25,4,193,4,23,2,447,8
,"St John Ambulance Hall, 107 Southland Road",322,48,3,288,6,54,8,729,6
,"Wesley Hall, 108 Hastings Street South",48,4,1,97,1,10,1,162,4
"Haumoana","Haumoana Public Hall, 50 Haumoana Road",273,27,4,214,14,86,3,621,5
"Havelock North","Havelock North Bridge Club, 53 Brookvale Road",380,29,3,106,8,25,1,552,2
,"Havelock North Function Centre, 30 Te Mata Road",655,54,3,214,5,79,0,1010,12
,"Havelock North High School, 177 Te Mata Road",473,43,1,157,4,58,0,736,4
,"Havelock North Primary School, 9 Campbell Street",741,47,1,232,4,62,3,1090,8
,"Lucknow School, 42 Elliott Crescent",337,38,2,227,11,45,0,660,2
,"Our Lady of the Lourdes Parish Hall, 85 Te Mata Road",276,15,0,141,2,22,0,456,3
"Kereru","Kereru School, 2306 Kereru Road",57,5,0,14,1,2,0,79,1
"Mahora","Aubyn Theatre, 815 St Aubyn Street West",262,23,1,278,12,33,0,609,9
,"Mahora School Hall, 710 Frederick Street",648,81,7,640,14,91,4,1485,13
"Mangateretere","Mangateretere School, 314 State Highway 2",150,13,1,61,4,16,1,246,0
"Maraekakaho","Maraekakaho School, 68 Kereru Road",219,24,3,60,2,21,0,329,1
"Mayfair","Karamu High School Hall, 1036 Windsor Avenue",189,33,4,181,5,15,0,427,1
,"Mayfair School, 1110 Willowpark Road North",352,38,3,498,9,44,2,946,5
"Omahu","Omahu School, 22 Taihape Road",136,12,0,56,2,9,0,215,1
"Omakere","Omakere School, 46 Long Range Road",25,1,0,7,0,3,0,36,1
"Onga Onga","Onga Onga School, 51 Mill Street",131,15,1,35,2,8,0,192,3
"Otane","Otane School, Higginson Street",186,32,6,113,8,34,0,379,9
"Pakipaki","Pakipaki School, 316 Pakipaki Road",102,8,1,40,1,8,2,162,2
"Pakowhai","Pakowhai School, 25 Chesterhope Road",162,15,1,57,0,10,0,245,2
"Parkvale","Gordon Black Hall, 912 Queen Street East",114,11,0,108,3,6,0,242,3
,"Parkvale Kindergarten, 108 Park Road South",193,27,1,209,2,24,1,457,5
,"Parkvale School Hall, 1217 Howard Street",403,53,4,282,4,47,3,796,9
,"Takitimu Performing Arts School, 706 Albert Street",93,10,3,117,6,18,0,247,2
"Poukawa","Poukawa School, 107 Poukawa Road",83,1,0,27,0,2,0,113,0
"Pukahu","Riverbend Bible Church, 354 Te Aute Road",140,16,1,31,0,15,0,203,2
"Pukehamoamoa","Pukehamoamoa School, 11 Matapiro Road",187,16,1,39,1,10,1,255,2
"Pukehou","Pukehou School, 174 State Highway 2",62,5,1,28,2,5,2,105,1
"Puketapu ","Puketapu School, 708 Puketapu Road",63,6,0,25,0,5,0,99,0
"Raukawa","Raukawa Hall, 1403 Raukawa Road",72,7,1,15,0,8,0,103,1
