Electorate Candidate Votes Recorded at Each Voting Place
"Whangarei 63","Candidate Vote Details"
,,"CURRIN, David Brett","DOHERTY, Paul William","ELLIS, Siobhan Kelly","GRIEVE, Robin Barrie","KAIPO, Anaru Joseph","KING, Leslie Raymond","LEITCH, Christopher John","NIGHTINGALE, Donald Roy","PARAONE, Rewiti Pomare Kingi","RETI, Shane Raymond","Total Valid Candidate Votes","Informal Candidate Votes"
"Glenbervie","Glenbervie School, 151 Ngunguru Road",1,55,79,9,5,3,16,21,36,408,633,2
"Hikurangi","Hikurangi School, Swan Avenue",5,38,100,4,2,2,8,13,77,161,410,2
"Kamo","Jane Mander Retirement Village, 262 Fairway Drive",2,14,50,2,1,0,10,19,13,239,350,5
,"Kamo Intermediate School, Hailes Road",4,43,131,6,8,2,15,25,55,381,670,5
,"Kamo Primary School, 6 Three Mile Bush Road",3,93,263,11,6,3,35,37,113,869,1433,12
"Kauri","Kaurihohore Hall, 24 Apotu Road",3,28,72,2,5,2,4,12,24,293,445,2
"Kensington","Kensington Croquet Club, 41 Mill Road",5,39,108,1,5,3,19,11,45,323,559,6
,"St Johns Church Centre, 149 Kamo Road",6,33,133,1,4,2,21,25,49,292,566,4
,"Table Tennis Centre, Kensington Park, 193 Western Hills Drive",1,37,96,10,5,0,9,9,28,254,449,8
,"Whau Valley School, 17 Moodys Avenue",9,29,89,3,1,2,8,13,27,249,430,2
"Kokopu","Kokopu School, Kokopu Road",0,5,21,8,0,0,0,1,5,85,125,2
"Mangapai","Mangapai Hall, corner McAlister & Mangapai Roads ",4,21,37,1,2,4,6,18,29,180,302,4
"Mata","Mata Hall, Salmon Road  ",0,14,15,2,1,1,3,1,20,129,186,0
"Matapouri","Matapouri Public Hall, Matapouri Road",1,27,40,0,2,0,1,4,9,57,141,2
"Maungakaramea","Maungakaramea School, Tangihua Road",4,36,53,3,2,1,9,13,38,268,427,2
"Maungatapere","Maungatapere School, Mangakahia Road",4,38,137,21,6,1,22,16,37,543,825,4
"Maunu","Maunu Primary School, 13 Austins Road",10,50,120,16,1,3,34,31,70,766,1101,8
,"Stand For Children, 436 Maunu Road",0,21,54,0,1,1,9,9,22,186,303,0
,"Whangarei Hospital, Maunu Road",3,31,98,3,3,0,8,10,19,126,301,1
"Morningside","Morningside School, 53A Morningside Road",8,54,108,4,11,4,22,22,48,219,500,5
"Ngararatanua","Regent Training Centre, Pipiwai Road",3,13,34,3,1,3,4,5,21,162,249,2
"Ngunguru","Ngunguru Community Hall, 1879 Ngunguru Road",3,129,132,4,6,1,10,13,50,449,797,8
"Oakura","Oakura Hall, Oakura Road",0,1,2,1,0,0,0,0,2,23,29,0
"One Tree Point","One Tree Point School, 97 One Tree Point Road",2,24,95,5,3,4,5,20,69,449,676,3
"Onerahi","Onerahi School, Church Road",10,89,217,3,5,2,41,19,73,397,856,5
