Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ikaroa-Rawhiti 65","Candidate Vote Details"
,,"FOX, Derek Tinia","HOROMIA, Parekura Tureia","TIPENE, Bevan Mohi","Total Valid Candidate Votes","Informal Candidate Votes"
,East Coast
"Gisborne","Awapuni School, 129 Awapuni Road",35,40,4,79,4
,"Central School, 7 Central Street",31,41,3,75,4
,"Cobham School, Lytton Road",88,117,5,210,3
,"Elgin School, 2 Knox Street",82,108,11,201,3
,"Girls High School, 555 Gladstone Road",75,91,13,179,7
,"Gisborne  Hospital, 421 Ormond Road",36,33,1,70,0
,"Gisborne District Council, Fitzherbert Street",68,60,7,135,3
,"Ilminster Intermediate, De Lautour Road",128,207,11,346,13
,"Kaiti School, 517 Wainui Road",174,287,12,473,14
,"Mangapapa Residents Hall, 350 Ormond Road",52,66,4,122,2
,"Mangapapa School, 5 Rua Street",43,65,11,119,1
,"Riverdale School, 324 Stout Street",69,79,6,154,5
,"Rutene Road Kindergarten, 128 Rutene Road",30,29,1,60,0
,"Te Hapara School, 31 Mill Road",35,58,4,97,0
,"Waikirikiri School, 7 Pickering Street",90,196,6,292,3
,"Wesley Methodist Parish and Community Centre, 453 Gladstone Road",21,23,6,50,1
,"YMCA Hall, 150 Roebuck Road",45,68,2,115,2
"Hicks Bay","Te Kura Kaupapa o Kawakawa mai Tawhiti, 22 Wharf Road",30,40,1,71,0
"Makaraka","Makaraka School, 137 Main Road South",22,18,2,42,0
"Makauri","Makauri School, 120 King Road",4,6,0,10,0
"Manutuke","Manutuke School, 59 Waingake Road",65,55,2,122,1
"Matawai","Matawai School, 29 Raumati Street",6,16,0,22,0
"Muriwai","Muriwai School, 1684 Wharerata Road",41,41,3,85,0
"Ormond","Ormond School, 45 Whitmore Road",11,19,2,32,0
"Patutahi","Patutahi School, 29 Atkins Street",38,32,5,75,2
"Rere","Rere School, Wharekopae Road",2,4,2,8,0
"Ruatoria","Te Kura Kaupapa Maori o Te Waiu o Ngati Porou, 13 Tuparoa Road",164,154,11,329,3
"Te Araroa","Te Waha o Rerekohu Area School, 3 Arewhana Street",80,62,5,147,1
"Te Karaka","Waikohu College, Kanakanaia Road",60,90,3,153,3
"Te Puia Springs","Te Puia Springs School, 28 McKenzie Street",31,59,1,91,2
"Tikitiki","Tikitiki School, 33 Rangitukia Road",67,83,3,153,0
"Tiniroto","Tiniroto School, 14 School Road",2,8,1,11,0
"Tokomaru Bay","Hatea - A - Rangi School, 6 School Road",62,89,3,154,3
"Tolaga Bay","Tolaga Bay Area School, Resolution Street",40,204,4,248,3
"Waerenga o Kuri","Waerenga o Kuri School, 1763 Tiniroto Road",4,5,0,9,0
"Wainui","Wainui Beach School, 56 Wairere Road",14,24,5,43,1
"Whangara","Whangara School, 44 Pa Road",21,30,1,52,0
"Whatatutu","Whatatutu School, 24 Te Hau Road,  Whatatutu",33,35,2,70,1
,Hutt South
"Hutt Central","Hutt Hospital, High Street",5,5,3,13,0
"Naenae","Maota Samoa Hall, 25 Treadwell Street",14,26,0,40,3
,"Naenae Kindergarten, 19 Seddon Street",30,34,5,69,3
,"Naenae School, Wheatley Street",19,20,3,42,4
,"Rata Street School, Rata Street",48,71,12,131,3
"Petone","Petone Central School, 16 Britannia Street",9,6,0,15,0
"Wainuiomata","Arakura School, 209 Wellington Road",84,71,6,161,6
,"Fernlea School, 25a Lees Grove",18,31,2,51,2
,"Holy Trinity Church, 40 Wainuiomata Road",29,41,8,78,3
,"Intermediate School, 66 Konini Street",40,69,2,111,1
,"Pukeatua School, 19 Frederick Street",45,48,4,97,1
,"St Peter's Church, 29 Wise Street",54,87,4,145,1
,"Wainuiomata Primary School, Homedale Road",43,90,11,144,3
,"Wainuiomata Union Church, 106 Main Road",28,36,6,70,0
,Napier
"Ahuriri","Port Ahuriri School, 15 Lever Street",20,20,7,47,2
"Bay View","King George Hall, 1 Hill Road",23,38,5,66,3
"Bluff Hill","Napier Central School, 32 Napier Terrace",7,9,5,21,1
,"Napier Girls' High School, 4 Clyde Road",4,5,1,10,0
"Eskdale","Eskdale School, 324 Hill Road",1,9,0,10,2
"Frasertown","Frasertown School, 4 Russell Parade",29,42,2,73,1
"Greenmeadows","Girl Guides Hall, corner Auckland Road & York Avenue",22,26,4,52,2
,"Greenmeadows Game Farm, 22 Burness Road",2,8,1,11,0
,"Greenmeadows Primary Public School, 45 Osier Road",13,20,6,39,1
,"Salvation Army Hall, 56 Tait Drive",23,36,3,62,2
"Kotemaori","Kotemaori School, State Highway 2",6,6,1,13,0
"Mahia","Te Mahia School, 457 East Coast Road",86,57,2,145,2
"Maraenui","Maraenui Bilingual School, 2a Lister Crescent",52,133,13,198,6
,"Richmond School, 13a Barnard Avenue",64,135,6,205,8
"Marewa","Church of Christ Building, 19 Douglas McLean Avenue",7,8,2,17,1
,"Marewa School, 80 Latham Street",86,101,13,200,7
"Meeanee","Meeanee School, 6 Gavin Black Street",6,5,4,15,0
"Napier Central","Courthouse, 251 Hastings Street",12,24,6,42,2
,"Napier Intermediate, 13 Jull Street",16,25,9,50,1
"Napier South","Nelson Park School, 48 Kennedy Road",17,30,7,54,3
,"St Luke's Church, 196 Vigor Brown Street",7,12,1,20,0
"Nuhaka","Nuhaka School, Tamakahu Street",65,57,3,125,3
"Onekawa","Henry Charles Hall, Henry Charles Terrace",15,22,1,38,2
,"Henry Hill School, 15 Dick Place",44,50,4,98,6
,"Onekawa Primary School, 235 Kennedy Road",24,28,6,58,0
,"William Colenso College, 21 Arnold Street",24,30,1,55,3
"Pirimai","Baptist Church, 69 Bill Hercock Street ",31,46,6,83,1
"Poraiti","Wharerangi Homestead (Hohepa Homes), 146 Puketitiri Road",4,3,0,7,0
"Puketapu","Puketapu School, 708 Puketapu Road",9,7,0,16,1
"Raupunga","Ngati-Pahauwera Society Offices, 30 Putere Road",25,33,2,60,1
"Ruakituri","Ruakituri School, 1607 Ruakituri Valley Road",10,6,0,16,1
"Tamatea","Porritt School, 36 Lyttelton Crescent",10,42,2,54,1
,"Tamatea Intermediate, 15 Freyberg Avenue",17,46,4,67,1
,"Tamatea Primary School, 10 Durham Avenue",44,53,9,106,4
"Taradale","Bledisloe School, 30a Meeanee Road",28,26,3,57,3
,"Taradale Intermediate, 6 Murphy Road",22,28,4,54,2
,"Taradale Primary School, 10 Church Road",19,19,6,44,1
,"Taradale Senior Citizens (Friendship Centre), 10 Symons Lane",13,10,2,25,1
"Te Awa","Te Awa School, 1a Te Awa Avenue",40,32,4,76,1
"Te Pohue","Te Pohue School, 44 Richmond Road",7,8,1,16,0
"Tuai","Tuai Public Hall, corner Main Road & Waikare-Taheke Street",34,30,5,69,0
"Tutira","Tutira School, 29 Matahorua Road",6,6,1,13,0
"Wairoa","Taihoa Marae, 174 State Highway 2 North",65,85,2,152,1
,"Wairoa College, 20 Lucknow Street",60,87,9,156,4
,"Wairoa Memorial Hall, Queen Street",148,228,14,390,4
"Westshore","Westshore School, 13 Ferguson Avenue",9,9,1,19,1
,Ohariu
